id,name,popularity,artists,release_date,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
6F5mZpEEjhsAW8UEqbIpz1,Tired,70,['beabadoobee'],2018-12-07,199514,0.483,0.63,0.418,0.15,7.0,0.111,-7.111,0.0,0.0254,140.037,4.0,0.345
6zeeWid2sgw4lap2jV61PZ,Better,69,['Khalid'],2018-10-18,229320,0.0765,0.596,0.552,0.334,0.0,0.104,-10.278,0.0,0.097,97.949,4.0,0.112
0wY9rA9fJkuESyYm9uzVK5,D'Evils,68,['SiR'],2018-01-19,171818,0.00558,0.784,0.586,0.000286,1.0,0.106,-3.417,1.0,0.187,132.169,4.0,0.656
0WHi11uzahqpEtPGYCW6oQ,If I Killed Someone For You,69,['Alec Benjamin'],2018-11-16,185122,0.774,0.514,0.605,2.91e-06,7.0,0.121,-5.363,1.0,0.0337,120.894,4.0,0.409
2bkKnaLTMCghmjlcPBoYWd,Musty,65,['Shoreline Mafia'],2018-05-04,161557,0.00907,0.833,0.203,5.91e-06,10.0,0.124,-12.456,0.0,0.211,100.023,4.0,0.04
5qHirGR7M9tdm6C17DlzSY,REEL IT IN,68,['Aminé'],2018-08-15,121346,0.073,0.754,0.342,0.0,10.0,0.193,-8.677,0.0,0.0991,128.981,4.0,0.423
6XcfKZvJio9Z0fQy11GnNX,broken,66,['lovelytheband'],2018-08-03,204878,0.00175,0.666,0.728,4.26e-06,7.0,0.0429,-5.808,1.0,0.0419,122.996,4.0,0.51
6fc51JZVE0Yijdi6RuoLFv,Painkillers,65,['Rainbow Kitten Surprise'],2018-04-06,213973,0.466,0.754,0.405,0.00179,7.0,0.1,-11.547,1.0,0.0378,114.938,4.0,0.0843
1B4gJRq61xTs6r1O0Uq2iY,Casper,67,['Takeoff'],2018-11-02,197079,0.525,0.921,0.607,1.17e-06,1.0,0.123,-7.397,1.0,0.209,140.067,4.0,0.753
5zsHmE2gO3RefVsPyw2e3T,What's Up Danger (with Black Caviar),70,"['Blackway', 'Black Caviar']",2018-12-14,222306,0.00363,0.701,0.755,0.000814,2.0,0.121,-5.82,1.0,0.0417,95.041,4.0,0.116
1jzIJcHCXneHw7ojC6LXiF,Potato Salad,68,"['Tyler, The Creator', 'A$AP Rocky']",2018-09-28,182493,0.308,0.538,0.612,0.0,2.0,0.213,-6.02,1.0,0.424,168.197,4.0,0.684
6VrCmhRBFnuGKmtNfk4jDs,Spotlight,70,"['Marshmello', 'Lil Peep']",2018-01-12,177600,0.0145,0.546,0.822,0.0,7.0,0.742,-4.483,1.0,0.151,150.06,4.0,0.615
3f5lA8nnc4YYF1qf78WpHw,Ella Quiere Beber - Remix,75,"['Anuel AA', 'Romeo Santos']",2018-11-02,219357,0.265,0.75,0.665,0.0,8.0,0.0515,-3.083,1.0,0.124,95.239,4.0,0.697
5nVE45ithgyVocZp5XLAk6,The Bug Collector,67,['Haley Heynderickx'],2018-03-02,228459,0.777,0.538,0.419,0.329,10.0,0.0967,-9.705,1.0,0.0353,99.622,4.0,0.529
0MoQI1EZGSHLhd5UBdxPol,Substance,68,['03 Greedo'],2018-03-09,219834,0.26,0.599,0.32,0.0,3.0,0.106,-13.716,0.0,0.0787,70.998,4.0,0.197
5i0eJv1DzuyhaYnro4wTKg,Crazy Story (feat. King Von),66,"['Only The Family', 'King Von']",2018-12-21,146751,0.00999,0.833,0.496,1.99e-05,11.0,0.126,-8.827,1.0,0.436,156.932,4.0,0.148
4ElNxglBjcrASiGn58t9Jm,God Only Knows,65,['for KING & COUNTRY'],2018-10-05,229760,0.395,0.597,0.417,8.35e-06,2.0,0.128,-7.952,1.0,0.0502,143.839,4.0,0.263
22oEJW6r2rMb9z4IntfyEa,"Hey Look Ma, I Made It",66,['Panic! At The Disco'],2018-06-22,169666,0.0137,0.577,0.833,0.0,5.0,0.121,-3.337,1.0,0.0695,107.936,4.0,0.58
2hEYslbdYWFSIA6JboUvnR,DEVIL,65,['Shinedown'],2018-05-04,207986,0.00039,0.354,0.942,6.36e-06,7.0,0.431,-3.245,1.0,0.237,119.992,4.0,0.242
0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),72,"['benny blanco', 'Halsey', 'Khalid']",2018-07-12,173799,0.555,0.56,0.68,0.0,6.0,0.116,-7.648,0.0,0.321,89.391,4.0,0.319
30VHURM5NOfoZmqp2iKawS,Butterflies,65,['Kacey Musgraves'],2018-03-30,219053,0.252,0.689,0.614,1.95e-05,4.0,0.178,-6.137,0.0,0.0306,141.97,4.0,0.411
60cYr5uuMoxvyuIx45rGEW,Boy In The Bubble,68,['Alec Benjamin'],2018-11-16,181705,0.224,0.817,0.578,0.00103,11.0,0.251,-7.579,0.0,0.0824,143.982,4.0,0.851
0W7KIc2GSB9suYQAaMZ9rF,Nobody (feat. Matthew West),67,"['Casting Crowns', 'Matthew West']",2018-11-16,206400,0.458,0.561,0.717,0.0,8.0,0.138,-5.72,1.0,0.0381,79.993,4.0,0.455
4NBTZtAt1F13VvlSKe6KTl,This Feeling,69,"['The Chainsmokers', 'Kelsea Ballerini']",2018-12-14,197946,0.0558,0.575,0.571,0.0,1.0,0.0912,-7.906,1.0,0.0439,105.049,4.0,0.449
5tYCl2bT9bDjMuTyn6OVb0,MALA (feat. Anuel AA),80,"['6ix9ine', 'Anuel AA']",2018,206550,0.693,0.719,0.822,0.0,5.0,0.0997,-3.84,0.0,0.0427,99.998,4.0,0.785
1Knctxx9vGZxpZfF66BIEa,Legends,68,['Juice WRLD'],2018-06-22,191840,0.115,0.594,0.798,0.0,4.0,0.143,-5.244,1.0,0.0844,142.049,4.0,0.381
4a1oIihVt6xSnDRpgX387M,Burning Man,64,"['Dierks Bentley', 'Brothers Osborne']",2018-06-08,238493,0.00403,0.609,0.807,5.42e-06,5.0,0.0926,-7.221,1.0,0.0972,119.073,4.0,0.492
79qxwHypONUt3AFq0WPpT9,Rainbow,65,['Kacey Musgraves'],2018-03-30,214293,0.88,0.581,0.197,0.0,3.0,0.107,-7.697,1.0,0.0329,130.367,4.0,0.349
1qAuIPMALdFtGv2Ymjy5l0,MONSTERS,64,['Shinedown'],2018-05-04,248373,0.00204,0.487,0.9,6.42e-06,5.0,0.11,-4.54,1.0,0.0529,149.959,4.0,0.377
23c9gmiiv7RCu7twft0Mym,Who Hurt You?,68,['Daniel Caesar'],2018-10-16,231964,0.586,0.649,0.493,0.000167,11.0,0.0667,-7.645,0.0,0.11,104.542,4.0,0.277
3vWzyGTu6Ovo1GdrcJqH6e,Scared of the Dark (feat. XXXTENTACION),69,"['Lil Wayne', 'Ty Dolla $ign', 'XXXTENTACION']",2018-12-14,233000,0.0485,0.549,0.625,0.0,0.0,0.239,-6.717,0.0,0.0682,79.949,4.0,0.158
4QEks3yeZVdjNV1zTqxp1F,Ride,67,['Aaron May'],2018-11-30,190605,0.365,0.677,0.497,3.63e-05,10.0,0.12,-8.064,0.0,0.303,172.164,4.0,0.46
02wNtFxlr9dLmZXKT5TIF5,Over the Moon,66,['The Marías'],2018-09-28,182900,0.86,0.684,0.232,0.404,0.0,0.135,-13.249,1.0,0.0297,73.518,4.0,0.387
22is613WTMG267eVdACLDK,Dead and Cold,68,['SadBoyProlific'],2018-11-10,89624,0.866,0.721,0.467,2.05e-06,10.0,0.0931,-9.889,1.0,0.521,95.392,5.0,0.731
3EPXxR3ImUwfayaurPi3cm,Be Alright,75,['Dean Lewis'],2018-06-29,196373,0.697,0.553,0.586,0.0,11.0,0.0813,-6.319,1.0,0.0362,126.684,4.0,0.443
08bNPGLD8AhKpnnERrAc6G,FRIENDS,75,"['Marshmello', 'Anne-Marie']",2018-02-09,202620,0.205,0.626,0.88,0.0,9.0,0.128,-2.384,0.0,0.0504,95.079,4.0,0.534
6HJ34Zyw6bg8yGm28AxLXf,Look Alive (feat. Drake),68,"['BlocBoy JB', 'Drake']",2018-05-04,181414,0.00108,0.918,0.58,6.12e-05,10.0,0.106,-7.501,1.0,0.322,139.977,4.0,0.611
2mj7x99sNUsVHPBRK51zlG,Electric (feat. Khalid),67,"['Alina Baraz', 'Khalid']",2018-04-06,246327,0.738,0.599,0.396,2.19e-05,10.0,0.102,-10.489,0.0,0.0392,111.072,4.0,0.134
62d6YXEYxmMWAuLpw1EysL,Garden Kisses,67,['Giveon'],2018-08-08,195405,0.915,0.478,0.373,6.36e-06,5.0,0.128,-9.505,1.0,0.0317,120.129,4.0,0.354
6hUTzxvNiJ1c0lYqgoOTBW,Motel 6,65,['River Whyless'],2018-06-08,195126,0.299,0.493,0.444,0.00101,4.0,0.0995,-8.951,1.0,0.0333,168.127,3.0,0.13
0WVAQaxrT0wsGEG4BCVSn2,Born To Be Yours,62,"['Kygo', 'Imagine Dragons']",2018-06-15,193320,0.3,0.688,0.688,0.0,3.0,0.0982,-5.84,1.0,0.0357,114.011,4.0,0.451
0b9oOr2ZgvyQu88wzixux9,This Is America,68,['Childish Gambino'],2018-05-06,225773,0.117,0.854,0.463,0.0,5.0,0.354,-6.159,1.0,0.137,120.024,4.0,0.549
2MShy1GSSgbmGUxADNIao5,Calling My Spirit,64,['Kodak Black'],2018-12-14,152000,0.0996,0.91,0.366,0.0,1.0,0.261,-9.954,1.0,0.0941,119.985,4.0,0.74
1yYlpGuBiRRf33e1gY61bN,Night Shift,66,['Lucy Dacus'],2018-03-02,391829,0.313,0.48,0.311,1.52e-05,9.0,0.113,-7.887,1.0,0.0258,86.15,4.0,0.162
61jCFoNIuzQnc9UovuzNVW,IRIS,65,['Ashes To Amber'],2018-10-01,151578,0.28,0.725,0.543,0.475,6.0,0.113,-9.089,1.0,0.0387,140.051,4.0,0.415
19m3E0nMZobyA93AxMXC32,I'm Still,65,['Juice WRLD'],2018-12-10,192859,0.0811,0.631,0.672,0.0,11.0,0.154,-4.583,1.0,0.0347,119.948,4.0,0.282
1D2L6MefbXon28PzIk9I3r,92 Explorer,67,['Post Malone'],2018-04-27,211426,0.265,0.798,0.733,1.26e-06,7.0,0.114,-4.811,0.0,0.0475,146.047,4.0,0.862
6V1bu6o1Yo5ZXnsCJU8Ovk,Girls Like You (feat. Cardi B) - Cardi B Version,64,"['Maroon 5', 'Cardi B']",2018-06-15,235545,0.566,0.779,0.541,0.0,0.0,0.13,-6.824,1.0,0.0658,124.939,4.0,0.447
7BDbyDs5FUmnh955RABFd7,Good Kisser,63,['Lake Street Dive'],2018-05-04,218493,0.119,0.485,0.591,0.00278,10.0,0.0787,-3.888,1.0,0.0453,160.336,4.0,0.636
4c2xt1trwYZpMqPWY35Xi9,Jaded,66,['Drake'],2018-06-29,262453,0.037,0.764,0.271,0.0,0.0,0.175,-5.697,1.0,0.0414,116.019,4.0,0.0371
3NM41PVVUr0ceootKAtkAj,As the World Caves In,68,['Matt Maltese'],2018-06-08,218754,0.369,0.327,0.449,0.00444,10.0,0.22,-5.362,1.0,0.034,123.969,4.0,0.179
7bOlOJHn9IOaXX7IwaK905,Through the Storm,64,['YoungBoy Never Broke Again'],2018-06-29,163566,0.631,0.881,0.581,0.0,5.0,0.0986,-5.162,1.0,0.0901,78.508,4.0,0.876
1SHB1hp6267UK9bJQUxYvO,Судно (Борис Рижий),72,['Molchat Doma'],2018-09-07,141394,0.697,0.484,0.75,0.862,1.0,0.105,-4.176,1.0,0.0685,159.992,4.0,0.467
0elCmyfISzkP5tAYTVuYjS,August,63,['flipturn'],2018-04-20,261734,0.0892,0.45,0.602,0.00625,6.0,0.107,-4.301,1.0,0.0273,172.161,4.0,0.16
