id,name,popularity,artists,release_date,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
5osSw3tL07Tuid7AWsvYcc,"Ante Up (feat. Busta Rhymes, Teflon & Remi Martin) - Remix",61,"['M.O.P.', 'Busta Rhymes', 'Teflon', 'Remi Martin']",2000-08-29,247693,0.0206,0.68,0.894,0.0,1.0,0.462,-4.86,1.0,0.255,94.089,4.0,0.803
0e42i89bY2NmPuVDtey8pg,Danger (Been So Long) (feat. Nivea),54,"['Mystikal', 'Nivea']",2000-09-26,211400,0.211,0.919,0.861,2.59e-05,7.0,0.0288,-5.435,1.0,0.218,97.969,4.0,0.718
06vaPTVwFkFxCzmJDXlfx5,A Little Book of Hours: VI. Singing Sun,55,"['Peter Sculthorpe', 'Elena Riu']",2000-01-01,103600,0.992,0.346,0.00398,0.878,10.0,0.0643,-44.526,1.0,0.0537,78.891,5.0,0.318
6gfDXAX85YWdVwxpbz0npv,Original Prankster,62,"['The Offspring', 'Redman']",2000-11-14,220946,0.000542,0.664,0.877,2.95e-05,2.0,0.284,-4.251,1.0,0.0334,146.804,4.0,0.961
0YHI5hydPPth6J5UOzdLDX,Lay Low,58,"['Snoop Dogg', 'Master P', 'Nate Dogg', 'Butch Cassidy', 'Tha Eastsidaz']",2000,223000,0.151,0.87,0.653,0.0,0.0,0.303,-4.353,1.0,0.326,94.84,4.0,0.755
7ESCrKC98mNhYZY9AenRMQ,Didn't Leave Nobody But The Baby,52,"['Emmylou Harris', 'Alison Krauss', 'Gillian Welch']",2000-12-05,117800,0.951,0.653,0.105,0.0,10.0,0.114,-16.511,0.0,0.0454,52.946,4.0,0.231
79UjqYt9MCLlBpzAvaKVJj,In Love With You,56,"['Erykah Badu', 'Stephen Marley']",2000-10-31,321000,0.581,0.736,0.268,0.0,9.0,0.163,-12.873,0.0,0.0639,132.525,4.0,0.65
7996f9NZeypc4jqfc6hJUa,Remember Me?,54,"['Eminem', 'RBX', 'Sticky Fingaz']",2000-05-23,218840,0.00293,0.806,0.905,0.0,8.0,0.23,-3.119,0.0,0.299,89.982,4.0,0.729
4rNi7a3TOLYkgnmLYdE73H,You,52,"['Lucy Pearl', 'Snoop Dogg', 'Q-Tip']",2000-05-23,266173,0.0378,0.811,0.661,0.0,5.0,0.134,-6.487,0.0,0.233,103.887,4.0,0.612
5NQdweL8O7nGdM7e4IS1lf,It's So Hard (feat. Donell Jones) (feat. Donnell Jones),51,"['Big Pun', 'Donnell Jones']",2000-03-01,172933,0.0554,0.9,0.593,0.0,10.0,0.0304,-6.629,0.0,0.333,92.946,4.0,0.633
4cNhx6OO1XpvwT6xZnb83B,Southern Hospitality (Featuring Pharrell),51,"['Ludacris', 'Pharrell Williams']",2000-01-01,300933,0.035,0.623,0.896,0.0,0.0,0.0941,-4.719,1.0,0.247,95.158,4.0,0.613
1OnXz5v4hVdrNLJ9N4MqzL,Bring On The Rain,50,"['Jo Dee Messina', 'Tim McGraw']",2000-08-01,240173,0.689,0.468,0.404,0.0,5.0,0.177,-7.25,1.0,0.0286,138.115,4.0,0.148
7FWuzwapuKHTEyDJIcQOw3,Stutter (feat. Mystikal) - Double Take Remix,52,"['Joe', 'Mystikal', 'Allen Gordon']",2000-04-18,213026,0.0513,0.767,0.759,0.0,6.0,0.31,-6.516,1.0,0.117,89.989,4.0,0.677
0erTM8A9ro5kzcNc962jHd,Amityville,53,"['Eminem', 'Bizarre']",2000-05-23,254773,0.0217,0.618,0.929,0.0,2.0,0.326,-3.238,0.0,0.273,79.864,4.0,0.672
3nsxMrnYlfBNotHRevTRgM,Rollin' (Urban Assault Vehicle),55,"['Limp Bizkit', 'Redman', 'Method Man', 'DMX']",2000-10-17,382826,0.0451,0.588,0.884,0.0,7.0,0.0904,-4.918,1.0,0.325,89.875,4.0,0.438
2MNQMtZbOb7rBWli3TSok0,Bad Boyz (feat. Barrington Levy),51,"['Shyne', 'Barrington Levy']",2000,228906,0.0249,0.788,0.594,1.65e-05,6.0,0.0534,-4.864,0.0,0.336,83.84,4.0,0.691
73VWTEHnoZyULD840kEX49,"My Rifle, My Pony And Me - Remastered",53,"['Ricky Nelson', 'Dean Martin']",2000-01-01,130333,0.918,0.629,0.0543,0.00506,0.0,0.232,-18.614,1.0,0.132,78.495,4.0,0.445
6NfXJzeyMsV48pM6zegv0s,I Am A Man Of Constant Sorrow - With Band,51,"['The Soggy Bottom Boys', 'Dan Tyminski']",2000-12-05,256973,0.553,0.513,0.488,0.00611,5.0,0.12,-11.603,1.0,0.0321,169.601,4.0,0.947
2f8KUIjzOwzLWVF20DpD9A,Murder On Music Row,50,"['George Strait', 'Alan Jackson']",2000-01-01,262466,0.333,0.356,0.554,0.0,9.0,0.0643,-6.013,1.0,0.04,204.04,4.0,0.541
5jv3QxL0MFswzM1UJ2qQJM,How Many Licks? (feat. Sisqo),52,"[""Lil' Kim"", 'Sisqo']",2000-06-16,232800,0.0508,0.777,0.846,0.0,10.0,0.309,-3.11,0.0,0.194,105.45,4.0,0.646
1elGwF4VwkwglV4nCBPJtv,Now We Are Free,63,"['Hans Zimmer', 'Klaus Badelt', 'Lisa Gerrard', 'Gavin Greenaway', 'The Lyndhurst Orchestra']",2000-04-25,254293,0.578,0.339,0.219,0.101,9.0,0.104,-18.595,1.0,0.0336,138.091,4.0,0.0387
2ZjhhB3kZP6Zufmjuv2TWC,"String Quartet No. 13 in B-Flat Major, Op. 130: II. Presto",57,"['Ludwig van Beethoven', 'Kodály Quartet']",2000-09-22,123773,0.913,0.367,0.0814,0.931,10.0,0.105,-23.788,0.0,0.0439,161.58,4.0,0.62
7kBdenpTmgWfAz9clmBcok,#1 Stunna,47,"['Big Tymers', 'JUVENILE', 'Lil Wayne']",2000-01-01,281960,0.0176,0.552,0.842,0.00327,8.0,0.258,-4.961,1.0,0.285,89.017,4.0,0.561
64ta7ZvTJeThz7Ns4LmAHS,"Symphony No. 25 in G Minor, K. 183: I. Allegro con brio",57,"['Wolfgang Amadeus Mozart', 'Academy of St. Martin in the Fields', 'Sir Neville Marriner']",2000-01-01,460026,0.987,0.428,0.237,0.896,7.0,0.0849,-13.764,0.0,0.0351,79.904,4.0,0.357
6l3b8BOBDRDM1ne9fpOygz,Until We Rich,53,"['Ice Cube', 'Krayzie Bone']",2000-02-29,254706,0.0437,0.877,0.781,0.0,0.0,0.0875,-5.355,1.0,0.0631,89.683,4.0,0.873
1D70EbZoedMGzZWYZvfQIY,Ride Wit Me,49,"['Nelly', 'City Spud']",2000-06-27,290133,0.0588,0.846,0.687,2.12e-06,7.0,0.0417,-6.424,1.0,0.0608,101.842,4.0,0.744
5d8woPn6sHRA6yPnnHnqSt,What'chu Like (feat. Tyrese),50,"['Da Brat', 'Tyrese']",2000-04-11,221160,0.017,0.879,0.681,0.0,10.0,0.0669,-8.951,0.0,0.24,99.974,4.0,0.817
3kvBEbswxMAx6QKc10SCon,"Overture (Suite) No. 2 in B Minor, BWV 1067: VII. Badinerie",58,"['Johann Sebastian Bach', 'Cologne Chamber Orchestra', 'Helmut Müller-Brühl']",2000-12-02,90106,0.847,0.515,0.269,0.0897,11.0,0.0757,-21.859,0.0,0.037,130.998,4.0,0.964
0DaZU7iKgXMelfXCkCOgBK,Steve Berman,50,"['Eminem', 'Steve Berman']",2000-05-23,53573,0.578,0.663,0.626,0.0,1.0,0.469,-10.536,1.0,0.639,148.087,1.0,0.837
0uMn8WKu3qtQLaUyal1bsz,Mastermind,49,"['Deltron 3030', 'Del The Funky Homosapien', 'Dan The Automator', 'Kid Koala']",2000,214306,0.00224,0.741,0.657,0.00756,0.0,0.0825,-9.589,0.0,0.0374,94.211,4.0,0.25
1ZxwWrMNukjS8sb9TZ0HjU,God in Me (feat. Kierra Sheard),46,"['Mary Mary', 'Kierra Sheard']",2000,192680,0.0336,0.673,0.673,0.0,5.0,0.214,-5.824,0.0,0.0948,176.088,4.0,0.428
7jeuO70ZhwRuGbfH1laugD,Project Bitch,45,"['Big Tymers', 'JUVENILE', 'Lil Wayne']",2000-09-12,281240,0.0688,0.813,0.658,6.55e-06,7.0,0.0479,-7.12,0.0,0.465,75.102,4.0,0.747
3vNFsxBbA4dPkymPF5Jm1b,This Mess We're In,56,"['PJ Harvey', 'Thom Yorke']",2000-01-01,235840,0.0266,0.541,0.572,0.186,0.0,0.0925,-9.634,1.0,0.0277,126.302,4.0,0.406
