id,name,popularity,artists,release_date,duration,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,74,['Limp Bizkit'],2000-10-17,321040,0.0174,0.425,0.852,0.311,11.0,0.0935,-5.605,1.0,0.0461,101.97,4.0,0.499
2jSJm3Gv6GLxduWLenmjKS,Digital Bath,68,['Deftones'],2000-05-16,255373,0.00122,0.338,0.859,0.211,4.0,0.0936,-4.938,0.0,0.0824,92.966,4.0,0.504
4wEuNvb7oG8oZYrZPZ9rPr,Me and the Birds,68,['Duster'],2000-08-22,95226,0.752,0.475,0.531,0.0634,8.0,0.53,-6.552,0.0,0.0317,119.643,4.0,0.223
6xXlurslWqFuyqTCBlErzX,Awake,66,['Godsmack'],2000-10-31,304373,1.74e-05,0.395,0.756,0.00665,7.0,0.319,-4.12,1.0,0.0544,112.092,4.0,0.475
6hwQ69v7VbPhTTR2fOtYX7,Want You Bad,73,['The Offspring'],2000-11-14,202573,5.59e-05,0.491,0.966,0.0,4.0,0.307,-4.28,1.0,0.0538,105.544,4.0,0.614
5rAxhWcgFng3s570sGO2F8,A Place for My Head,71,['Linkin Park'],2000,184640,0.0144,0.603,0.908,0.0,11.0,0.671,-5.254,1.0,0.184,133.063,4.0,0.457
3LI4MmibTkXH5cGpCGZgyw,Teenage Dirtbag,68,['Wheatus'],2000-09-29,241666,0.36,0.617,0.84,8.85e-05,4.0,0.179,-4.063,1.0,0.0512,94.676,4.0,0.57
7IoK6jZBxY7NMoQPoPXZCF,Passenger,66,['Deftones'],2000-05-16,368666,0.00188,0.345,0.797,0.0668,0.0,0.145,-6.152,1.0,0.0551,117.987,4.0,0.223
2aGw77pZqli064JiPuXYRi,I'm Like A Bird,73,['Nelly Furtado'],2000,243160,0.147,0.623,0.607,3.29e-06,10.0,0.227,-5.113,1.0,0.0353,89.654,4.0,0.614
1sjrDQXqAa9V07FjKIlAQ4,Hemorrhage (In My Hands),63,['Fuel'],2000-09-19,236866,0.000144,0.301,0.823,0.000309,1.0,0.0833,-4.072,1.0,0.0433,152.017,4.0,0.372
5KDNFlHAdDJ84fhK27c35X,Judith,65,['A Perfect Circle'],2000-01-01,247266,3.45e-05,0.366,0.894,0.17,11.0,0.267,-4.682,0.0,0.0568,82.305,3.0,0.304
0aym2LBJBk9DAYuHHutrIl,Hey Jude - Remastered 2015,71,['The Beatles'],2000-11-13,425653,0.0112,0.386,0.607,1.38e-05,10.0,0.088,-7.7,1.0,0.0261,147.207,4.0,0.532
3mNecsYFb6LQg7822DPXCP,Absolutely (Story of a Girl) - Radio Mix,64,['Nine Days'],2000-05-16,189333,0.000891,0.481,0.94,0.0,7.0,0.0939,-5.204,1.0,0.066,96.493,4.0,0.66
6Zj3YsYfj8YTY9aGMDnpn8,Hot Dog,68,['Limp Bizkit'],2000-10-17,230240,0.00154,0.608,0.938,1.49e-05,1.0,0.369,-3.615,1.0,0.0743,100.861,4.0,0.603
5gUoppDphfYsIiguGr5drh,Todo Me Gusta De Ti,68,['Aaron Y Su Grupo Ilusion'],2000-01-01,247893,0.176,0.64,0.505,0.0,10.0,0.0769,-5.766,1.0,0.0362,180.625,4.0,0.786
1TwVcKR6JojvPwBGbWZT36,Dance Tonight,64,['Lucy Pearl'],2000-05-23,221280,0.00637,0.787,0.425,0.00169,10.0,0.196,-5.692,0.0,0.0641,99.225,4.0,0.711
2f5N826udWfjT9iomeaBJt,If You're Gone,65,['Matchbox Twenty'],2000-05-23,274933,0.427,0.544,0.659,1.33e-06,9.0,0.126,-7.191,1.0,0.0298,109.933,4.0,0.361
2kRFrWaLWiKq48YYVdGcm8,Everything In Its Right Place,69,['Radiohead'],2000-10-02,251426,0.705,0.296,0.463,0.0482,5.0,0.0954,-11.412,0.0,0.0449,123.943,5.0,0.0629
1m2xMsxbtxv21Brome189p,I Wanna Know,67,['Joe'],2000-04-18,296693,0.26,0.725,0.487,1.09e-05,8.0,0.431,-5.959,0.0,0.0368,136.086,4.0,0.599
6holGuk1jKHTdWyWBOZi8l,My Generation,70,['Limp Bizkit'],2000-10-17,221000,0.00231,0.458,0.978,2.11e-06,11.0,0.111,-2.389,1.0,0.192,104.013,4.0,0.341
7H3ojI1BsVy0dEJENqMt1k,By Your Side,70,['Sade'],2000-11-13,274933,0.0849,0.653,0.429,0.00371,11.0,0.0693,-10.473,1.0,0.0297,146.073,4.0,0.627
19CmuECYssqkPWANF4nLWM,Para No Verte Más,77,['La Mosca Tse-Tse'],2000,191560,0.0168,0.658,0.815,0.0,0.0,0.341,-6.834,1.0,0.105,99.276,4.0,0.837
65B1tEOv5W294uCKbmEcFV,I Hope You Dance,62,['Lee Ann Womack'],2000-01-01,294533,0.0632,0.388,0.443,0.0,7.0,0.0898,-9.627,0.0,0.0295,151.071,4.0,0.276
4GoBPGSNDWr9Sgi2Sc8xsj,Me Gusta Vivir De Noche,68,['Los Tucanes De Tijuana'],2000-11-01,215680,0.335,0.898,0.594,0.000822,5.0,0.254,-6.003,1.0,0.0479,119.709,4.0,0.953
7jtbRKtXtGtsJOBMaBo72W,Me Gustas,72,['Joan Sebastian'],2000-04-05,207586,0.554,0.572,0.433,7.37e-05,5.0,0.108,-8.086,1.0,0.0294,145.375,4.0,0.504
42Kv1RoTAm09FeytxiuZIB,Knife Prty,64,['Deftones'],2000-05-16,289200,0.00025,0.295,0.883,0.0234,0.0,0.137,-3.897,0.0,0.0446,74.483,3.0,0.118
7cv28LXcjAC3GsXbUvXKbX,I Will Survive - Single Version,66,['Gloria Gaynor'],2000-01-01,198066,0.0131,0.777,0.725,0.00805,0.0,0.246,-8.681,1.0,0.05,116.669,4.0,0.529
47PiSg7z5qjUyEGKN4I1g7,Secreto De Amor,71,['Joan Sebastian'],2000-04-05,273008,0.76,0.569,0.483,4.75e-05,2.0,0.106,-7.111,1.0,0.0421,96.502,4.0,0.624
2rtGaCAeYtmcIvuZsvgTf6,How to Disappear Completely,67,['Radiohead'],2000-10-02,356333,0.316,0.167,0.302,0.797,6.0,0.11,-11.644,0.0,0.0345,102.026,4.0,0.19
5susfx6SX1tebTCLSxe74K,Un Idiota,71,['Joan Sebastian'],2000-04-05,199482,0.517,0.594,0.39,0.0,9.0,0.118,-9.174,1.0,0.0396,85.366,4.0,0.34
2DpJ9T2RVRanZcYFHKOAfA,Put Your Head On My Shoulder,67,['Paul Anka'],2000-10-03,154733,0.747,0.547,0.335,0.0,4.0,0.101,-9.2,0.0,0.0307,115.838,3.0,0.474
5egqKwgK5r5rvGD1LrtR7J,Points of Authority,68,['Linkin Park'],2000,200240,0.03,0.512,0.97,0.0,8.0,0.0994,-3.886,0.0,0.212,94.952,4.0,0.427
4sIFi8LpJWPvI5xviWFyA6,D>E>A>T>H>M>E>T>A>L,62,['Panchiko'],2000-12-05,261849,0.823,0.263,0.796,0.523,5.0,0.102,-7.29,0.0,0.044,87.014,4.0,0.256
3opWtXcWfM3YFzrm0ffSII,Morir De Amor,68,['Conjunto Primavera'],2000-01-01,182280,0.0497,0.757,0.584,0.000498,2.0,0.132,-8.646,1.0,0.0272,122.051,4.0,0.639
1H5tvpoApNDxvxDexoaAUo,Who Let The Dogs Out,66,['Baha Men'],2000,198400,0.0605,0.869,0.887,0.0,0.0,0.148,-4.505,1.0,0.0992,129.223,4.0,0.784
4bUfMNNmiCmPXVyWzIfKeZ,E.I.,62,['Nelly'],2000-06-27,285906,0.0732,0.834,0.481,0.0,2.0,0.0934,-7.824,0.0,0.188,89.847,4.0,0.406
1aC1IBAETh2XYGOE8kCC6t,Loser,61,['3 Doors Down'],2000,264800,0.0108,0.493,0.88,2.66e-05,6.0,0.226,-6.424,0.0,0.0693,147.913,4.0,0.389
6FLwmdmW77N1Pxb1aWsZmO,Only Time,70,['Enya'],2000-11-11,218546,0.841,0.418,0.249,0.661,3.0,0.112,-13.744,1.0,0.0301,82.803,4.0,0.213
7MiLmLbwNoyf47xQ4TCVYp,Papa Was A Rollin' Stone - Single Version,64,['The Temptations'],2000-01-11,419640,0.451,0.817,0.405,0.0507,10.0,0.0468,-13.513,0.0,0.0811,121.467,4.0,0.898
5YBVDvTSSSiqv7KZDeUlXA,Renegades Of Funk,64,['Rage Against The Machine'],2000-12-05,274160,0.00184,0.651,0.908,0.000579,2.0,0.384,-4.019,1.0,0.0577,123.851,4.0,0.769
7vrLphPq4yjaX7jiDdd2Nc,Dig,62,['Mudvayne'],2000-08-13,162293,9.62e-05,0.623,0.983,0.0617,11.0,0.261,-3.548,0.0,0.151,134.975,4.0,0.271
5jgEJXjECdlhzNgfITSTVm,Just Friends (Sunny),58,['Musiq Soulchild'],2000-01-01,251426,0.404,0.754,0.376,0.0,0.0,0.358,-7.56,1.0,0.208,95.018,4.0,0.556
5hxOvIWUQ1G2THsXhQlkle,Tell It Like It Is,61,['Aaron Neville'],2000,162400,0.702,0.644,0.375,0.0,2.0,0.111,-10.588,0.0,0.0284,94.257,3.0,0.629
2nejvFyJeTDtMRP2nUMt0J,Abrázame Muy Fuerte,72,['Juan Gabriel'],2000-12-12,239426,0.689,0.515,0.387,0.0,4.0,0.126,-7.343,0.0,0.0567,135.739,4.0,0.312
2QhURnm7mQDxBb5jWkbDug,Don't Panic,69,['Coldplay'],2000-07-10,136866,0.206,0.602,0.612,0.00607,0.0,0.107,-8.409,1.0,0.0335,122.062,4.0,0.453
1yxJIFPhP2EqnQ6oWJKbmP,Mis Tres Viejas,66,['Los Tucanes De Tijuana'],2000-11-12,162840,0.523,0.92,0.629,0.0,10.0,0.116,-4.717,1.0,0.0343,98.865,4.0,0.968
5BAbezIjIvHR4VOMECrIv9,Felicidad,65,['Los Socios Del Ritmo'],2000-01-01,197640,0.115,0.84,0.56,0.0,5.0,0.128,-6.173,0.0,0.0446,80.042,4.0,0.921
3TwtrR1yNLY1PMPsrGQpOp,Superman (It's Not Easy),66,['Five For Fighting'],2000-09-26,221693,0.0733,0.382,0.416,0.0,0.0,0.0719,-9.303,1.0,0.0302,102.089,4.0,0.125
68uupqD2ijA27hJxtvnsLH,Cumbia De La Cobra,63,['Fito Olivares y Su Grupo'],2000,198613,0.045,0.744,0.738,0.0134,7.0,0.0746,-7.282,1.0,0.0362,98.14,4.0,0.924
3WibbMr6canxRJXhNtAvLU,B.O.B. - Bombs Over Baghdad,61,['Outkast'],2000-10-31,304226,0.0555,0.746,0.978,4.11e-05,9.0,0.026,-5.324,1.0,0.0978,153.809,4.0,0.653
7f1Dmr246cJ9uQYdbplTbh,He Wasn't Man Enough,65,['Toni Braxton'],2000,261933,0.00916,0.739,0.947,3.14e-05,11.0,0.326,-1.916,0.0,0.0411,88.009,4.0,0.766
4pbG9SUmWIvsROVLF0zF9s,I Want To Hold Your Hand - Remastered 2015,64,['The Beatles'],2000-11-13,145746,0.386,0.49,0.715,0.0,7.0,0.311,-5.549,1.0,0.0476,130.726,4.0,0.866
6xxXrNJnnsQNLdgNk8S4y8,Hate To Say I Told You So,58,['The Hives'],2000,199759,0.00109,0.451,0.929,0.00785,5.0,0.442,-5.021,1.0,0.0549,135.767,4.0,0.378
2TTYIwTM2iLC1YOyHuhRMt,Lucky,66,['Britney Spears'],2000-05-16,206226,0.262,0.765,0.791,0.000154,8.0,0.0669,-5.707,1.0,0.0317,95.026,4.0,0.966
0R8P9KfGJCDULmlEoBagcO,Trouble,72,['Coldplay'],2000-07-10,273426,0.189,0.565,0.546,0.0015,11.0,0.17,-7.496,0.0,0.0314,139.757,4.0,0.195
7neWp4incUBLP1XQTNWmP0,La Vaca,63,['Mala Fe'],2000,255533,0.23,0.738,0.927,0.00515,9.0,0.684,-5.439,1.0,0.101,170.011,4.0,0.665
2d1NMaw8arIU2Fy4BnWqLs,One Thing Leads To Another,56,['The Fixx'],2000-08-08,205066,0.177,0.785,0.95,0.00927,5.0,0.148,-6.715,0.0,0.0484,136.823,4.0,0.968
3PbHle8KhJp6GuO1jLdEmQ,Be Like That,60,['3 Doors Down'],2000,265906,0.00528,0.487,0.702,4.97e-06,7.0,0.129,-6.043,1.0,0.0238,95.982,4.0,0.306
35o9a4iAfLl5jRmqMX9c1D,Shape of My Heart,71,['Backstreet Boys'],2000-11-21,230093,0.252,0.575,0.786,0.0,9.0,0.159,-4.353,1.0,0.0296,96.102,4.0,0.518
3dxDj8pDPlIHCIrUPXuCeG,Sandstorm,68,['Darude'],2000-01-01,225666,0.146,0.532,0.967,0.985,11.0,0.115,-7.977,0.0,0.0457,136.083,4.0,0.59
6xtQ23d8GEXgcxyUKPtwc5,Runaway,64,['Linkin Park'],2000,183973,0.0142,0.636,0.884,0.0,7.0,0.253,-4.743,1.0,0.0584,109.16,4.0,0.446
5OQGeJ1ceykovrykZsGhqL,Breathless,69,['The Corrs'],2000-07-17,207506,0.0541,0.607,0.82,6.8e-05,11.0,0.269,-7.754,1.0,0.0597,126.988,4.0,0.768
5uuXtfqM7Wp3idCxyHeOll,With You,65,['Linkin Park'],2000,203266,0.0037,0.421,0.978,0.0,6.0,0.111,-4.004,0.0,0.302,196.921,4.0,0.359
5uRd1tmUAvfFGSPR5266Xp,Tu Cariñito,70,['Luisito Ayala Y La Puerto Rican Power'],2000,251253,0.337,0.667,0.873,2.24e-06,5.0,0.0338,-8.751,0.0,0.0469,187.441,4.0,0.92
